연번,시위일자,호선,역명,,,,,,,,,,,,
1,2021-12-09,4,혜화,,,,,,,,,,,,
2,2021-12-10,4,혜화,,,,,,,,,,,,
3,2021-12-13,4,혜화,,,,,,,,,,,,
4,2021-12-29,4,성신여대입구(돈암),,,,,,,,,,,,
5,2022-01-21,4,미아사거리,,,,,,,,,,,,
6,2022-01-28,4,한성대입구(삼선교),,,,,,,,,,,,
7,2022-01-28,4,혜화,,,,,,,,,,,,
8,2022-02-03,4,동대문역사문화공원(DDP),,,,,,,,,,,,
9,2022-02-03,4,동대문,,,,,,,,,,,,
10,2022-02-03,4,혜화,,,,,,,,,,,,
11,2022-02-04,4,한성대입구(삼선교),,,,,,,,,,,,
12,2022-02-04,4,혜화,,,,,,,,,,,,
13,2022-02-04,4,동대문,,,,,,,,,,,,
14,2022-02-04,4,혜화,,,,,,,,,,,,
15,2022-02-07,4,충무로,,,,,,,,,,,,
16,2022-02-07,4,동대문역사문화공원(DDP),,,,,,,,,,,,
17,2022-02-07,4,동대문,,,,,,,,,,,,
18,2022-02-07,4,혜화,,,,,,,,,,,,
19,2022-02-09,4,동대문역사문화공원(DDP),,,,,,,,,,,,
20,2022-02-09,4,동대문,,,,,,,,,,,,
21,2022-02-09,4,혜화,,,,,,,,,,,,
22,2022-02-11,4,충무로,,,,,,,,,,,,
23,2022-02-11,4,동대문역사문화공원(DDP),,,,,,,,,,,,
24,2022-02-11,4,동대문,,,,,,,,,,,,
25,2022-02-11,4,혜화,,,,,,,,,,,,
26,2022-02-14,4,동대문역사문화공원(DDP),,,,,,,,,,,,
27,2022-02-14,4,동대문,,,,,,,,,,,,
28,2022-02-14,4,혜화,,,,,,,,,,,,
29,2022-02-14,4,한성대입구(삼선교),,,,,,,,,,,,
30,2022-02-14,4,혜화,,,,,,,,,,,,
31,2022-02-15,4,한성대입구(삼선교),,,,,,,,,,,,
32,2022-02-15,4,혜화,,,,,,,,,,,,
33,2022-02-16,4,동대문역사문화공원(DDP),,,,,,,,,,,,
34,2022-02-16,4,동대문,,,,,,,,,,,,
35,2022-02-16,4,혜화,,,,,,,,,,,,
36,2022-02-16,4,한성대입구(삼선교),,,,,,,,,,,,
37,2022-02-16,4,혜화,,,,,,,,,,,,
