연번,시위일자,호선,역명,,,,*6/30 (퇴근길이라 삭제)
1,2022-06-02,4,삼각지,,,,
2,2022-06-02,4,숙대입구(갈월),,,,
3,2022-06-02,4,서울역,,,,
4,2022-06-02,4,회현(남대문시장),,,,
5,2022-06-03,4,삼각지,,,,
6,2022-06-03,4,숙대입구(갈월),,,,
7,2022-06-03,4,서울역,,,,
8,2022-06-03,4,회현(남대문시장),,,,
9,2022-06-07,4,삼각지,,,,
10,2022-06-07,4,숙대입구(갈월),,,,
11,2022-06-07,4,서울역,,,,
12,2022-06-07,4,회현(남대문시장),,,,
13,2022-06-08,4,삼각지,,,,
14,2022-06-08,4,숙대입구(갈월),,,,
15,2022-06-08,4,서울역,,,,
16,2022-06-08,4,회현(남대문시장),,,,
17,2022-06-09,4,?,,,,
18,2022-06-10,4,?,,,,
19,2022-06-13,4,혜화,,,,
20,2022-06-13,4,동대문,,,,
21,2022-06-13,4,동대문역사문화공원(DDP),,,,
22,2022-06-13,4,충무로,,,,
23,2022-06-13,4,명동,,,,
24,2022-06-13,4,회현(남대문시장),,,,
25,2022-06-13,4,서울역,,,,
26,2022-06-13,4,숙대입구(갈월),,,,
27,2022-06-13,4,삼각지,,,,
28,2022-06-14,4,삼각지,,,,
29,2022-06-14,4,숙대입구(갈월),,,,
30,2022-06-14,4,서울역,,,,
31,2022-06-14,4,회현(남대문시장),,,,
32,2022-06-15,4,삼각지,,,,
33,2022-06-15,4,숙대입구(갈월),,,,
34,2022-06-15,4,서울역,,,,
35,2022-06-15,4,회현(남대문시장),,,,
36,2022-06-16,4,삼각지,,,,
37,2022-06-16,4,숙대입구(갈월),,,,
38,2022-06-16,4,서울역,,,,
39,2022-06-16,4,회현(남대문시장),,,,
40,2022-06-16,4,명동,,,,
41,2022-06-16,4,충무로,,,,
42,2022-06-16,4,동대문역사문화공원(DDP),,,,
43,2022-06-16,4,동대문,,,,
44,2022-06-16,4,혜화,,,,
45,2022-06-17,4,삼각지,,,,
46,2022-06-17,4,?,,,,
47,2022-06-20,4,혜화,,,,
48,2022-06-20,4,동대문,,,,
49,2022-06-20,4,동대문역사문화공원(DDP),,,,
50,2022-06-21,4,?,,,,
51,2022-06-22,4,삼각지,,,,
52,2022-06-22,4,숙대입구(갈월),,,,
53,2022-06-22,4,서울역,,,,
54,2022-06-22,4,회현(남대문시장),,,,
55,2022-06-22,4,명동,,,,
56,2022-06-22,4,충무로,,,,
57,2022-06-22,4,동대문역사문화공원(DDP),,,,
58,2022-06-22,4,동대문,,,,
59,2022-06-22,4,혜화,,,,
60,2022-06-23,4,삼각지,,,,
61,2022-06-23,4,숙대입구(갈월),,,,
62,2022-06-23,4,서울역,,,,
63,2022-06-23,4,회현(남대문시장),,,,
64,2022-06-23,4,명동,,,,
65,2022-06-23,4,충무로,,,,
66,2022-06-23,4,동대문역사문화공원(DDP),,,,
67,2022-06-23,4,동대문,,,,
68,2022-06-23,4,혜화,,,,
69,2022-06-24,4,삼각지,,,,
70,2022-06-24,4,숙대입구(갈월),,,,
71,2022-06-24,4,서울역,,,,
72,2022-06-24,4,회현(남대문시장),,,,
73,2022-06-24,4,명동,,,,
74,2022-06-24,4,충무로,,,,
75,2022-06-24,4,동대문역사문화공원(DDP),,,,
76,2022-06-24,4,동대문,,,,
77,2022-06-24,4,혜화,,,,
78,2022-06-27,4,혜화,,,,
79,2022-06-27,4,동대문,,,,
80,2022-06-27,4,동대문역사문화공원(DDP),,,,
81,2022-06-27,4,충무로,,,,
82,2022-06-28,4,삼각지,,,,
83,2022-06-28,4,?,,,,
84,2022-06-29,4,삼각지,,,,
85,2022-06-29,4,숙대입구(갈월),,,,
86,2022-06-29,4,서울역,,,,
87,2022-06-29,4,회현(남대문시장),,,,
88,2022-06-29,4,명동,,,,
89,2022-06-29,4,충무로,,,,
90,2022-06-29,4,동대문역사문화공원(DDP),,,,
91,2022-06-29,4,동대문,,,,
92,2022-06-29,4,혜화,,,,
93,2022-07-01,4,회현(남대문시장),,,,
94,2022-07-01,4,명동,,,,
95,2022-07-01,4,충무로,,,,
96,2022-07-01,4,동대문역사문화공원(DDP),,,,
97,2022-07-01,4,동대문,,,,
98,2022-07-01,4,서울역,,,,
99,2022-07-01,4,숙대입구(갈월),,,,
100,2022-07-01,4,삼각지,,,,
101,2022-07-04,4,삼각지,,,,
102,2022-07-04,4,숙대입구(갈월),,,,
103,2022-07-04,4,서울역,,,,
104,2022-07-04,4,회현(남대문시장),,,,
105,2022-07-04,4,명동,,,,
106,2022-07-04,4,충무로,,,,
107,2022-07-04,4,동대문역사문화공원(DDP),,,,
108,2022-07-04,4,동대문,,,,
109,2022-07-04,4,혜화,,,,
110,2022-07-04,4,한성대입구(삼선교),,,,
111,2022-07-04,4,혜화,,,,
112,2022-07-05,4,삼각지,,,,
113,2022-07-05,4,숙대입구(갈월),,,,
114,2022-07-05,4,서울역,,,,
115,2022-07-05,4,회현(남대문시장),,,,
116,2022-07-05,4,명동,,,,
117,2022-07-05,4,충무로,,,,
118,2022-07-05,4,동대문역사문화공원(DDP),,,,
119,2022-07-05,4,동대문,,,,
120,2022-07-05,4,혜화,,,,
121,2022-07-05,4,한성대입구(삼선교),,,,
122,2022-07-05,4,혜화,,,,
123,2022-07-06,4,삼각지,,,,
124,2022-07-06,4,숙대입구(갈월),,,,
125,2022-07-06,4,서울역,,,,
126,2022-07-06,4,회현(남대문시장),,,,
127,2022-07-06,4,명동,,,,
128,2022-07-06,4,충무로,,,,
129,2022-07-06,4,동대문역사문화공원(DDP),,,,
130,2022-07-06,4,동대문,,,,
131,2022-07-06,4,혜화,,,,
132,2022-07-07,4,삼각지,,,,
133,2022-07-07,4,숙대입구(갈월),,,,
134,2022-07-07,4,서울역,,,,
135,2022-07-07,4,회현(남대문시장),,,,
136,2022-07-07,4,명동,,,,
137,2022-07-07,4,충무로,,,,
138,2022-07-07,4,동대문역사문화공원(DDP),,,,
139,2022-07-07,4,동대문,,,,
140,2022-07-07,4,혜화,,,,
141,2022-07-08,4,삼각지,,,,
142,2022-07-08,4,숙대입구(갈월),,,,
143,2022-07-08,4,서울역,,,,
144,2022-07-08,4,회현(남대문시장),,,,
145,2022-07-08,4,명동,,,,
