region,date,temperature,rainfall,wind_speed,humidity
서울,2022-06-01 7:00,17.4,0.0,1.3,50
서울,2022-06-01 8:00,20.6,0.0,1.8,44
서울,2022-06-01 9:00,23.2,0.0,1.7,41
서울,2022-06-02 7:00,18.4,0.0,2.6,77
서울,2022-06-02 8:00,19.0,0.0,2.4,71
서울,2022-06-02 9:00,21.0,0.0,2.2,66
서울,2022-06-03 7:00,19.6,0.0,1.7,77
서울,2022-06-03 8:00,21.0,0.0,2.2,71
서울,2022-06-03 9:00,23.1,0.0,2.3,63
서울,2022-06-04 7:00,21.2,0.0,2.5,66
서울,2022-06-04 8:00,23.2,0.0,1.8,58
서울,2022-06-04 9:00,24.6,0.0,1.9,53
서울,2022-06-05 7:00,22.8,0.0,2.8,57
서울,2022-06-05 8:00,22.9,0.0,1.3,55
서울,2022-06-05 9:00,23.6,0.0,1.2,53
서울,2022-06-06 7:00,17.9,0.1,1.9,89
서울,2022-06-06 8:00,17.3,1.7,3.6,91
서울,2022-06-06 9:00,17.2,0.0,3.1,89
서울,2022-06-07 7:00,15.7,0.0,3.0,69
서울,2022-06-07 8:00,18.2,0.0,3.0,62
서울,2022-06-07 9:00,19.9,0.0,3.2,56
서울,2022-06-08 7:00,16.9,0.0,2.5,67
서울,2022-06-08 8:00,19.2,0.0,2.2,61
서울,2022-06-08 9:00,21.2,0.0,2.1,59
서울,2022-06-09 7:00,19.0,0.0,1.0,84
서울,2022-06-09 8:00,19.8,0.0,1.2,81
서울,2022-06-09 9:00,20.1,0.1,0.6,82
서울,2022-06-10 7:00,18.3,0.0,2.2,89
서울,2022-06-10 8:00,20.0,0.0,1.6,82
서울,2022-06-10 9:00,22.2,0.0,2.6,72
서울,2022-06-11 7:00,18.6,0.0,0.9,86
서울,2022-06-11 8:00,20.7,0.0,1.5,76
서울,2022-06-11 9:00,23.6,0.0,1.5,63
서울,2022-06-12 7:00,20.2,0.0,2.9,66
서울,2022-06-12 8:00,22.1,0.0,3.1,60
서울,2022-06-12 9:00,24.1,0.0,3.0,54
서울,2022-06-13 7:00,20.0,0.0,2.1,92
서울,2022-06-13 8:00,21.5,0.0,2.8,87
서울,2022-06-13 9:00,23.5,0.0,3.2,73
서울,2022-06-14 7:00,19.7,0.0,4.2,61
서울,2022-06-14 8:00,20.7,0.0,5.7,57
서울,2022-06-14 9:00,22.4,0.0,4.6,51
서울,2022-06-15 7:00,15.0,0.1,3.1,95
서울,2022-06-15 8:00,15.3,0.0,3.6,95
서울,2022-06-15 9:00,15.5,1.0,3.2,95
서울,2022-06-16 7:00,17.8,0.1,2.8,93
서울,2022-06-16 8:00,18.1,0.0,2.2,92
서울,2022-06-16 9:00,18.3,0.2,2.2,91
서울,2022-06-17 7:00,17.9,0.0,1.0,90
서울,2022-06-17 8:00,19.5,0.0,1.2,83
서울,2022-06-17 9:00,20.3,0.0,2.0,83
서울,2022-06-18 7:00,22.5,0.0,1.0,86
서울,2022-06-18 8:00,23.2,0.0,2.2,80
서울,2022-06-18 9:00,23.6,0.0,2.1,77
서울,2022-06-19 7:00,22.5,0.0,1.6,85
서울,2022-06-19 8:00,22.7,0.0,1.9,84
서울,2022-06-19 9:00,22.9,0.0,1.9,85
서울,2022-06-20 7:00,22.5,0.0,1.0,90
서울,2022-06-20 8:00,23.3,0.0,1.5,87
서울,2022-06-20 9:00,24.1,0.0,1.0,81
서울,2022-06-21 7:00,22.1,0.0,1.1,91
서울,2022-06-21 8:00,24.1,0.0,1.4,84
서울,2022-06-21 9:00,26.0,0.0,1.1,77
서울,2022-06-22 7:00,22.6,0.0,1.5,84
서울,2022-06-22 8:00,23.0,0.0,1.9,83
서울,2022-06-22 9:00,23.9,0.0,1.1,81
서울,2022-06-23 7:00,24.1,0.0,0.3,81
서울,2022-06-23 8:00,25.1,0.0,2.0,78
서울,2022-06-23 9:00,24.7,0.8,2.3,82
서울,2022-06-24 7:00,20.8,0.2,3.4,99
서울,2022-06-24 8:00,21.3,0.0,2.8,99
서울,2022-06-24 9:00,22.0,0.0,2.6,98
서울,2022-06-25 7:00,22.2,0.0,1.6,88
서울,2022-06-25 8:00,23.0,0.0,1.5,84
서울,2022-06-25 9:00,24.1,0.0,1.3,83
서울,2022-06-26 7:00,25.2,0.0,2.0,86
서울,2022-06-26 8:00,25.3,0.0,2.5,86
