수송일자,호선,역명,07-10시간대
2022-06-01,4,당고개,1437
2022-06-01,4,상계,2768
2022-06-01,4,노원,1942
2022-06-01,4,창동,3179
2022-06-01,4,쌍문,4659
2022-06-01,4,수유(강북구청),4694
2022-06-01,4,미아(서울사이버대학),2060
2022-06-01,4,미아사거리,3672
2022-06-01,4,길음,2550
2022-06-01,4,성신여대입구(돈암),1889
2022-06-01,4,한성대입구(삼선교),1347
2022-06-01,4,혜화,971
2022-06-01,4,동대문,817
2022-06-01,4,동대문역사문화공원(DDP),591
2022-06-01,4,충무로,790
2022-06-01,4,명동,471
2022-06-01,4,회현(남대문시장),609
2022-06-01,4,서울역,555
2022-06-01,4,숙대입구(갈월),951
2022-06-01,4,삼각지,303
2022-06-01,4,신용산,575
2022-06-01,4,이촌(국립중앙박물관),575
2022-06-01,4,동작(현충원),196
2022-06-01,4,총신대입구(이수),1927
2022-06-01,4,사당,2489
2022-06-01,4,남태령,181
2022-06-02,4,당고개,4148
2022-06-02,4,상계,8780
2022-06-02,4,노원,6049
2022-06-02,4,창동,9356
2022-06-02,4,쌍문,13893
2022-06-02,4,수유(강북구청),13074
2022-06-02,4,미아(서울사이버대학),5506
2022-06-02,4,미아사거리,11212
2022-06-02,4,길음,9787
2022-06-02,4,성신여대입구(돈암),5643
2022-06-02,4,한성대입구(삼선교),3924
2022-06-02,4,혜화,2458
2022-06-02,4,동대문,1053
2022-06-02,4,동대문역사문화공원(DDP),965
2022-06-02,4,충무로,1318
2022-06-02,4,명동,771
2022-06-02,4,회현(남대문시장),916
2022-06-02,4,서울역,1622
2022-06-02,4,숙대입구(갈월),2505
2022-06-02,4,삼각지,1065
2022-06-02,4,신용산,1771
2022-06-02,4,이촌(국립중앙박물관),1741
2022-06-02,4,동작(현충원),373
2022-06-02,4,총신대입구(이수),6231
2022-06-02,4,사당,9843
2022-06-02,4,남태령,336
2022-06-03,4,당고개,4139
2022-06-03,4,상계,8812
2022-06-03,4,노원,5972
2022-06-03,4,창동,9119
2022-06-03,4,쌍문,13618
2022-06-03,4,수유(강북구청),12964
2022-06-03,4,미아(서울사이버대학),5399
2022-06-03,4,미아사거리,10778
2022-06-03,4,길음,9511
2022-06-03,4,성신여대입구(돈암),5520
2022-06-03,4,한성대입구(삼선교),3798
2022-06-03,4,혜화,2443
2022-06-03,4,동대문,1084
2022-06-03,4,동대문역사문화공원(DDP),941
2022-06-03,4,충무로,1464
2022-06-03,4,명동,798
2022-06-03,4,회현(남대문시장),895
2022-06-03,4,서울역,1639
2022-06-03,4,숙대입구(갈월),2442
2022-06-03,4,삼각지,983
2022-06-03,4,신용산,1719
2022-06-03,4,이촌(국립중앙박물관),1725
2022-06-03,4,동작(현충원),361
2022-06-03,4,총신대입구(이수),6483
2022-06-03,4,사당,9227
2022-06-03,4,남태령,348
2022-06-04,4,당고개,1767
2022-06-04,4,상계,3176
2022-06-04,4,노원,2450
2022-06-04,4,창동,3795
2022-06-04,4,쌍문,5518
2022-06-04,4,수유(강북구청),5770
2022-06-04,4,미아(서울사이버대학),2607
2022-06-04,4,미아사거리,4414
2022-06-04,4,길음,3168
2022-06-04,4,성신여대입구(돈암),2360
2022-06-04,4,한성대입구(삼선교),1687
2022-06-04,4,혜화,1359
2022-06-04,4,동대문,632
2022-06-04,4,동대문역사문화공원(DDP),591
2022-06-04,4,충무로,978
2022-06-04,4,명동,676
2022-06-04,4,회현(남대문시장),669
2022-06-04,4,서울역,907
2022-06-04,4,숙대입구(갈월),1199
2022-06-04,4,삼각지,386
2022-06-04,4,신용산,758
2022-06-04,4,이촌(국립중앙박물관),656
2022-06-04,4,동작(현충원),213
2022-06-04,4,총신대입구(이수),2315
2022-06-04,4,사당,3318
2022-06-04,4,남태령,292
2022-06-05,4,당고개,1165
2022-06-05,4,상계,2062
2022-06-05,4,노원,1792
2022-06-05,4,창동,2465
2022-06-05,4,쌍문,3604
2022-06-05,4,수유(강북구청),3928
2022-06-05,4,미아(서울사이버대학),1771
2022-06-05,4,미아사거리,2979
2022-06-05,4,길음,2034
2022-06-05,4,성신여대입구(돈암),1530
2022-06-05,4,한성대입구(삼선교),1087
2022-06-05,4,혜화,999
2022-06-05,4,동대문,302
2022-06-05,4,동대문역사문화공원(DDP),489
2022-06-05,4,충무로,703
2022-06-05,4,명동,719
2022-06-05,4,회현(남대문시장),459
2022-06-05,4,서울역,677
2022-06-05,4,숙대입구(갈월),854
2022-06-05,4,삼각지,262
2022-06-05,4,신용산,545
2022-06-05,4,이촌(국립중앙박물관),423
2022-06-05,4,동작(현충원),157
2022-06-05,4,총신대입구(이수),1676
2022-06-05,4,사당,2127
2022-06-05,4,남태령,213
2022-06-06,4,당고개,1114
2022-06-06,4,상계,2151
2022-06-06,4,노원,1481
2022-06-06,4,창동,2226
2022-06-06,4,쌍문,3590
2022-06-06,4,수유(강북구청),3744
2022-06-06,4,미아(서울사이버대학),1588
2022-06-06,4,미아사거리,2707
2022-06-06,4,길음,1962
2022-06-06,4,성신여대입구(돈암),1476
2022-06-06,4,한성대입구(삼선교),1017
2022-06-06,4,혜화,856
2022-06-06,4,동대문,741
2022-06-06,4,동대문역사문화공원(DDP),475
2022-06-06,4,충무로,560
2022-06-06,4,명동,618
2022-06-06,4,회현(남대문시장),498
2022-06-06,4,서울역,496
2022-06-06,4,숙대입구(갈월),773
2022-06-06,4,삼각지,220
2022-06-06,4,신용산,504
2022-06-06,4,이촌(국립중앙박물관),372
2022-06-06,4,동작(현충원),457
2022-06-06,4,총신대입구(이수),1438
2022-06-06,4,사당,1866
2022-06-06,4,남태령,112
2022-06-07,4,당고개,4190
2022-06-07,4,상계,8994
2022-06-07,4,노원,6164
2022-06-07,4,창동,9592
2022-06-07,4,쌍문,14253
2022-06-07,4,수유(강북구청),13445
2022-06-07,4,미아(서울사이버대학),5694
2022-06-07,4,미아사거리,11363
2022-06-07,4,길음,10146
2022-06-07,4,성신여대입구(돈암),5916
2022-06-07,4,한성대입구(삼선교),3980
2022-06-07,4,혜화,2625
2022-06-07,4,동대문,1073
2022-06-07,4,동대문역사문화공원(DDP),968
2022-06-07,4,충무로,1388
2022-06-07,4,명동,858
2022-06-07,4,회현(남대문시장),901
2022-06-07,4,서울역,1656
2022-06-07,4,숙대입구(갈월),2635
2022-06-07,4,삼각지,1125
2022-06-07,4,신용산,1815
2022-06-07,4,이촌(국립중앙박물관),1895
2022-06-07,4,동작(현충원),357
2022-06-07,4,총신대입구(이수),6348
2022-06-07,4,사당,10085
2022-06-07,4,남태령,356
2022-06-08,4,당고개,4219
2022-06-08,4,상계,9022
2022-06-08,4,노원,6290
2022-06-08,4,창동,9600
2022-06-08,4,쌍문,14381
2022-06-08,4,수유(강북구청),13452
2022-06-08,4,미아(서울사이버대학),5705
2022-06-08,4,미아사거리,11136
2022-06-08,4,길음,10099
2022-06-08,4,성신여대입구(돈암),5810
2022-06-08,4,한성대입구(삼선교),3969
2022-06-08,4,혜화,2551
2022-06-08,4,동대문,1052
2022-06-08,4,동대문역사문화공원(DDP),946
2022-06-08,4,충무로,1477
2022-06-08,4,명동,885
2022-06-08,4,회현(남대문시장),876
2022-06-08,4,서울역,1640
2022-06-08,4,숙대입구(갈월),2606
2022-06-08,4,삼각지,1094
2022-06-08,4,신용산,1823
2022-06-08,4,이촌(국립중앙박물관),1858
