region,date,temperature,rainfall,wind_speed,humidity,snowfall
서울,2021-09-01 07:00,19.3,0.0,3.3,94,0.0
서울,2021-09-01 08:00,19.6,0.0,3.3,92,0.0
서울,2021-09-01 09:00,20.1,0.0,3.5,90,0.0
서울,2021-09-02 07:00,20.8,0.0,2.5,78,0.0
서울,2021-09-02 08:00,21.4,0.0,3.1,74,0.0
서울,2021-09-02 09:00,22.7,0.0,2.6,68,0.0
서울,2021-09-03 07:00,21.0,0.0,2.2,81,0.0
서울,2021-09-03 08:00,22.5,0.0,3.0,72,0.0
서울,2021-09-03 09:00,23.7,0.0,2.4,67,0.0
서울,2021-09-04 07:00,18.9,0.0,2.3,70,0.0
서울,2021-09-04 08:00,20.6,0.0,2.6,67,0.0
서울,2021-09-04 09:00,22.4,0.0,2.8,63,0.0
서울,2021-09-05 07:00,19.7,0.0,2.9,70,0.0
서울,2021-09-05 08:00,20.8,0.0,2.6,69,0.0
서울,2021-09-05 09:00,22.4,0.0,2.9,66,0.0
서울,2021-09-06 07:00,20.9,0.0,3.3,68,0.0
서울,2021-09-06 08:00,21.5,0.0,2.6,68,0.0
서울,2021-09-06 09:00,23.2,0.0,3.8,63,0.0
서울,2021-09-07 07:00,18.2,0.7,2.7,98,0.0
서울,2021-09-07 08:00,18.5,1.0,2.4,99,0.0
서울,2021-09-07 09:00,19.0,1.5,2.3,100,0.0
서울,2021-09-08 07:00,19.1,0.0,1.1,97,0.0
서울,2021-09-08 08:00,19.5,0.0,0.5,95,0.0
서울,2021-09-08 09:00,20.5,0.0,0.6,92,0.0
서울,2021-09-09 07:00,19.6,0.0,1.7,94,0.0
서울,2021-09-09 08:00,20.4,0.0,2.1,93,0.0
서울,2021-09-09 09:00,22.0,0.0,1.5,86,0.0
서울,2021-09-10 07:00,19.5,0.0,1.7,90,0.0
서울,2021-09-10 08:00,20.6,0.0,1.8,88,0.0
서울,2021-09-10 09:00,22.0,0.0,1.6,84,0.0
서울,2021-09-11 07:00,20.0,0.0,1.7,92,0.0
서울,2021-09-11 08:00,21.2,0.0,0.7,89,0.0
서울,2021-09-11 09:00,22.5,0.0,1.4,84,0.0
서울,2021-09-12 07:00,19.4,0.0,1.4,81,0.0
서울,2021-09-12 08:00,20.5,0.0,1.1,77,0.0
서울,2021-09-12 09:00,22.1,0.0,0.4,72,0.0
서울,2021-09-13 07:00,21.0,0.0,2.4,81,0.0
서울,2021-09-13 08:00,22.3,0.0,3.4,77,0.0
서울,2021-09-13 09:00,23.1,0.0,2.0,73,0.0
서울,2021-09-14 07:00,20.0,0.0,2.6,86,0.0
서울,2021-09-14 08:00,20.9,0.0,2.1,83,0.0
서울,2021-09-14 09:00,22.7,0.0,2.2,77,0.0
서울,2021-09-15 07:00,19.7,0.0,2.3,73,0.0
서울,2021-09-15 08:00,21.9,0.0,2.5,67,0.0
서울,2021-09-15 09:00,23.8,0.0,3.3,60,0.0
서울,2021-09-16 07:00,18.5,0.0,3.3,75,0.0
서울,2021-09-16 08:00,20.3,0.0,2.9,70,0.0
서울,2021-09-16 09:00,22.1,0.0,4.3,62,0.0
서울,2021-09-17 07:00,20.6,0.0,2.7,72,0.0
서울,2021-09-17 08:00,21.0,0.0,2.3,72,0.0
서울,2021-09-17 09:00,21.7,0.0,2.2,70,0.0
서울,2021-09-18 07:00,19.0,0.0,0.9,80,0.0
서울,2021-09-18 08:00,21.0,0.0,1.9,75,0.0
서울,2021-09-18 09:00,22.8,0.0,2.0,69,0.0
서울,2021-09-19 07:00,21.2,0.0,1.6,76,0.0
서울,2021-09-19 08:00,22.0,0.0,2.0,74,0.0
서울,2021-09-19 09:00,23.2,0.0,1.7,71,0.0
서울,2021-09-20 07:00,19.2,0.0,1.1,80,0.0
서울,2021-09-20 08:00,20.9,0.0,2.0,76,0.0
서울,2021-09-20 09:00,23.1,0.0,2.2,67,0.0
서울,2021-09-21 07:00,20.8,6.7,1.2,98,0.0
서울,2021-09-21 08:00,21.1,1.3,0.7,94,0.0
서울,2021-09-21 09:00,21.2,0.0,1.7,93,0.0
서울,2021-09-22 07:00,17.5,0.0,1.1,98,0.0
서울,2021-09-22 08:00,18.1,0.2,0.8,97,0.0
서울,2021-09-22 09:00,19.7,0.0,1.5,96,0.0
서울,2021-09-23 07:00,17.9,0.0,2.3,78,0.0
서울,2021-09-23 08:00,18.4,0.0,2.6,76,0.0
서울,2021-09-23 09:00,19.9,0.0,2.3,68,0.0
서울,2021-09-24 07:00,17.1,0.0,2.1,88,0.0
서울,2021-09-24 08:00,18.6,0.0,2.2,83,0.0
서울,2021-09-24 09:00,20.7,0.0,1.8,75,0.0
서울,2021-09-25 07:00,18.9,0.0,0.9,76,0.0
서울,2021-09-25 08:00,19.4,0.0,0.4,76,0.0
서울,2021-09-25 09:00,20.6,0.0,2.7,73,0.0
서울,2021-09-26 07:00,18.5,0.0,2.6,80,0.0
