순서,년,월,일,설명
1,2018,1,1,새해
2,2018,2,15,설날
3,2018,2,16,설날
4,2018,2,17,설날
5,2018,3,1,삼일절
6,2018,5,5,어린이날
7,2018,5,7,대체휴일
8,2018,5,22,부처님오신날
9,2018,6,6,현충일
10,2018,6,13,지방선거
11,2018,8,15,광복절
12,2018,9,23,추석
13,2018,9,24,추석
14,2018,9,25,추석
15,2018,9,26,대체휴일
16,2018,10,3,개천절
17,2018,10,9,한글날
18,2018,12,25,크리스마스
19,2019,1,1,새해
20,2019,2,4,설날
21,2019,2,5,설날
22,2019,2,6,설날
23,2019,3,1,삼일절
24,2019,5,5,어린이날
25,2019,5,6,대체휴일
26,2019,5,12,부처님오신날
27,2019,6,6,현충일
28,2019,8,15,광복절
29,2019,9,12,추석
30,2019,9,13,추석
31,2019,9,14,추석
32,2019,10,3,개천절
33,2019,10,9,한글날
34,2019,12,25,크리스마스
35,2020,1,1,새해
36,2020,1,24,설날
37,2020,1,25,설날
38,2020,1,26,설날
39,2020,1,27,설날대체휴일
40,2020,3,1,삼일절
41,2020,4,15,국회의원선거
42,2020,4,30,부처님오신날
43,2020,5,5,어린이날
44,2020,6,6,현충일
45,2020,8,15,광복절
46,2020,8,17,임시공휴일
47,2020,9,30,추석
48,2020,10,1,추석
49,2020,10,2,추석
50,2020,10,3,개천절
51,2020,10,9,한글날
52,2020,12,25,크리스마스
53,2021,1,1,새해
54,2021,2,11,설날
55,2021,2,12,설날
56,2021,2,13,설날
57,2021,3,1,삼일절
58,2021,5,5,어린이날
59,2021,5,19,부처님오신날
60,2021,6,6,현충일
61,2021,8,15,광복절
62,2021,8,16,대체휴일
63,2021,9,20,추석
64,2021,9,21,추석
65,2021,9,22,추석
66,2021,10,3,개천절
67,2021,10,4,대체휴일
68,2021,10,9,한글날
69,2021,10,11,대체휴일
70,2021,12,25,크리스마스
71,2022,1,1,1월1일
72,2022,1,31,설날
73,2022,2,1,설날
74,2022,2,2,설날
75,2022,3,1,삼일절
76,2022,3,9,대통령선거일
77,2022,5,5,어린이날
78,2022,5,8,부처님오신날
79,2022,6,1,전국동시지방선거
80,2022,6,6,현충일
81,2022,8,15,광복절
82,2022,9,9,추석
83,2022,9,10,추석
84,2022,9,11,추석
85,2022,9,12,대체공휴일
86,2022,10,3,개천절
87,2022,10,9,한글날
88,2022,10,10,대체공휴일
89,2022,12,25,기독탄신일
90,2023,1,1,1월1일
91,2023,1,21,설날
92,2023,1,22,설날
93,2023,1,23,설날
94,2023,1,24,대체공휴일
95,2023,3,1,삼일절
96,2023,5,5,어린이날
97,2023,5,27,부처님오신날
98,2023,6,6,현충일
99,2023,8,15,광복절
100,2023,9,28,추석
101,2023,9,29,추석
102,2023,9,30,추석
103,2023,10,3,개천절
104,2023,10,9,한글날
105,2023,12,25,기독탄신일
