날짜,호선,역명,구분,07시-10시
2021-09-01,4,당고개,승차,5330
2021-09-01,4,상계,승차,8016
2021-09-01,4,노원,승차,5618
2021-09-01,4,창동,승차,8402
2021-09-01,4,쌍문,승차,12586
2021-09-01,4,수유(강북구청),승차,11859
2021-09-01,4,미아(서울사이버대학),승차,5117
2021-09-01,4,미아사거리,승차,9937
2021-09-01,4,길음,승차,8192
2021-09-01,4,성신여대입구(돈암),승차,5122
2021-09-01,4,한성대입구(삼선교),승차,3483
2021-09-01,4,혜화,승차,2252
2021-09-01,4,동대문,승차,822
2021-09-01,4,동대문역사문화공원(DDP),승차,826
2021-09-01,4,충무로,승차,1183
2021-09-01,4,명동,승차,544
2021-09-01,4,회현(남대문시장),승차,755
2021-09-01,4,서울역,승차,1279
2021-09-01,4,숙대입구(갈월),승차,2126
2021-09-01,4,삼각지,승차,857
2021-09-01,4,신용산,승차,1418
2021-09-01,4,이촌(국립중앙박물관),승차,1463
2021-09-01,4,동작(현충원),승차,511
2021-09-01,4,총신대입구(이수),승차,5290
2021-09-01,4,사당,승차,7856
2021-09-01,4,남태령,승차,273
2021-09-02,4,당고개,승차,5348
2021-09-02,4,상계,승차,8004
2021-09-02,4,노원,승차,5600
2021-09-02,4,창동,승차,8462
2021-09-02,4,쌍문,승차,12602
2021-09-02,4,수유(강북구청),승차,11737
2021-09-02,4,미아(서울사이버대학),승차,5050
2021-09-02,4,미아사거리,승차,9935
2021-09-02,4,길음,승차,8301
2021-09-02,4,성신여대입구(돈암),승차,5184
2021-09-02,4,한성대입구(삼선교),승차,3496
2021-09-02,4,혜화,승차,2222
2021-09-02,4,동대문,승차,963
2021-09-02,4,동대문역사문화공원(DDP),승차,786
2021-09-02,4,충무로,승차,1161
2021-09-02,4,명동,승차,558
2021-09-02,4,회현(남대문시장),승차,728
2021-09-02,4,서울역,승차,1331
2021-09-02,4,숙대입구(갈월),승차,2117
2021-09-02,4,삼각지,승차,857
2021-09-02,4,신용산,승차,1440
2021-09-02,4,이촌(국립중앙박물관),승차,1448
2021-09-02,4,동작(현충원),승차,498
2021-09-02,4,총신대입구(이수),승차,5360
2021-09-02,4,사당,승차,8037
2021-09-02,4,남태령,승차,280
2021-09-03,4,당고개,승차,5342
2021-09-03,4,상계,승차,7883
2021-09-03,4,노원,승차,5464
2021-09-03,4,창동,승차,8376
2021-09-03,4,쌍문,승차,12478
2021-09-03,4,수유(강북구청),승차,11615
2021-09-03,4,미아(서울사이버대학),승차,5026
2021-09-03,4,미아사거리,승차,9872
2021-09-03,4,길음,승차,8026
2021-09-03,4,성신여대입구(돈암),승차,5076
2021-09-03,4,한성대입구(삼선교),승차,3418
2021-09-03,4,혜화,승차,2232
2021-09-03,4,동대문,승차,944
2021-09-03,4,동대문역사문화공원(DDP),승차,796
2021-09-03,4,충무로,승차,1201
2021-09-03,4,명동,승차,520
2021-09-03,4,회현(남대문시장),승차,786
2021-09-03,4,서울역,승차,1359
2021-09-03,4,숙대입구(갈월),승차,2052
2021-09-03,4,삼각지,승차,826
2021-09-03,4,신용산,승차,1480
2021-09-03,4,이촌(국립중앙박물관),승차,1415
2021-09-03,4,동작(현충원),승차,518
2021-09-03,4,총신대입구(이수),승차,5192
2021-09-03,4,사당,승차,7721
2021-09-03,4,남태령,승차,304
2021-09-04,4,당고개,승차,2116
2021-09-04,4,상계,승차,2999
2021-09-04,4,노원,승차,2277
2021-09-04,4,창동,승차,3322
2021-09-04,4,쌍문,승차,4943
2021-09-04,4,수유(강북구청),승차,5026
2021-09-04,4,미아(서울사이버대학),승차,2272
2021-09-04,4,미아사거리,승차,3925
2021-09-04,4,길음,승차,2708
2021-09-04,4,성신여대입구(돈암),승차,2079
2021-09-04,4,한성대입구(삼선교),승차,1512
2021-09-04,4,혜화,승차,1277
2021-09-04,4,동대문,승차,725
2021-09-04,4,동대문역사문화공원(DDP),승차,569
2021-09-04,4,충무로,승차,775
2021-09-04,4,명동,승차,425
2021-09-04,4,회현(남대문시장),승차,529
2021-09-04,4,서울역,승차,603
2021-09-04,4,숙대입구(갈월),승차,975
2021-09-04,4,삼각지,승차,312
2021-09-04,4,신용산,승차,590
2021-09-04,4,이촌(국립중앙박물관),승차,568
2021-09-04,4,동작(현충원),승차,263
2021-09-04,4,총신대입구(이수),승차,2003
2021-09-04,4,사당,승차,2562
2021-09-04,4,남태령,승차,148
2021-09-05,4,당고개,승차,1260
2021-09-05,4,상계,승차,1692
2021-09-05,4,노원,승차,1355
2021-09-05,4,창동,승차,2095
2021-09-05,4,쌍문,승차,2981
2021-09-05,4,수유(강북구청),승차,3193
2021-09-05,4,미아(서울사이버대학),승차,1378
2021-09-05,4,미아사거리,승차,2341
2021-09-05,4,길음,승차,1499
2021-09-05,4,성신여대입구(돈암),승차,1228
2021-09-05,4,한성대입구(삼선교),승차,901
2021-09-05,4,혜화,승차,741
2021-09-05,4,동대문,승차,225
2021-09-05,4,동대문역사문화공원(DDP),승차,394
2021-09-05,4,충무로,승차,506
2021-09-05,4,명동,승차,331
2021-09-05,4,회현(남대문시장),승차,313
2021-09-05,4,서울역,승차,433
2021-09-05,4,숙대입구(갈월),승차,630
2021-09-05,4,삼각지,승차,187
2021-09-05,4,신용산,승차,390
2021-09-05,4,이촌(국립중앙박물관),승차,366
2021-09-05,4,동작(현충원),승차,223
2021-09-05,4,총신대입구(이수),승차,1229
2021-09-05,4,사당,승차,1586
2021-09-05,4,남태령,승차,92
2021-09-06,4,당고개,승차,5673
2021-09-06,4,상계,승차,8187
2021-09-06,4,노원,승차,5635
2021-09-06,4,창동,승차,8642
2021-09-06,4,쌍문,승차,13054
2021-09-06,4,수유(강북구청),승차,11883
