구분(1),2021,2021,2021,2021,2021,2021,2021,,,,,,,,,,
구분(1),출퇴근,등하교,업무,쇼핑,여가,학원,기타,,,,,,,,,,
전체,26.4,14.7,12.5,16.6,26.7,2.5,0.6,,,구분(1),출퇴근,등하교,업무,쇼핑,여가,학원,기타
서울,30.7,11.6,14.1,14.6,25.8,2.9,0.3,,,서울,30.7,11.6,14.1,14.6,25.8,2.9,0.3
부산,29.8,12,12.3,16.3,26.8,2.4,0.4,,,,,,,,,,
대구,27.7,12.6,12.4,16.4,27.6,2.9,0.5,,,,,,,,,,
인천,29.8,12.3,13.1,15.6,26.3,2.4,0.5,,,,,,,,,,
광주,28.5,13.9,12.8,14.8,26.9,2.7,0.4,,,,,,,,,,
대전,28.5,13.7,13.1,15.4,26.6,2.3,0.3,,,,,,,,,,
울산,28.5,12.9,11.9,16.6,26.4,2.8,0.9,,,,,,,,,,
세종,26.1,14.5,12.4,18.6,26.2,2.1,0.2,,,,,,,,,,
경기,26.2,16.7,11.8,16.1,26.2,2.4,0.5,,,,,,,,,,
강원,21.4,17.6,11.2,19.1,28.1,1.5,1.2,,,,,,,,,,
충북,19.2,17.2,11.7,20.1,27.9,2.7,1.2,,,,,,,,,,
충남,21.9,16.2,11.5,18.8,28,2.2,1.4,,,,,,,,,,
전북,21.7,17.1,12.2,18.6,27.2,2.3,0.9,,,,,,,,,,
전남,20.3,17.1,13.6,18.8,27.2,1.9,1.1,,,,,,,,,,
경북,22,15.6,12.6,18.9,28,2.1,0.8,,,,,,,,,,
경남,23.3,17.2,12.1,17.6,26.9,2.1,0.7,,,,,,,,,,
제주,18.1,17.5,11.2,19.2,31.3,1.8,0.9,,,,,,,,,,
